"List of Candidates. The file was created on Thursday, September 2, 2021."										
Liste des candidats. Le fichier a été créé le jeudi 2 septembre 2021.										
										
Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation  / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
10001	Avalon	Avalon	Conservative Party of Canada	Parti conservateur du Canada	Chapman	Matthew		(709) 701-8926	20-Aug-21	10:30:00
10001	Avalon	Avalon	New Democratic Party	Nouveau Parti démocratique	Davis	Carolyn			28-Aug-21	8:30:00
10001	Avalon	Avalon	Liberal Party of Canada	Parti libéral du Canada	McDonald	Ken		(709) 834-5683	24-Aug-21	1:30:00
10001	Avalon	Avalon	People's Party of Canada	Parti populaire du Canada	Stewart	Lainie		(819) 205-2648	30-Aug-21	8:00:00
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	New Democratic Party	Nouveau Parti démocratique	Anonsen	Anne Marie			27-Aug-21	11:30:00
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	People's Party of Canada	Parti populaire du Canada	Hogan	Linda			26-Aug-21	10:00:00
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	Liberal Party of Canada	Parti libéral du Canada	Rogers	Churence		(709) 427-5549	24-Aug-21	4:00:00
10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	Conservative Party of Canada	Parti conservateur du Canada	Vokey	Sharon		(709) 425-2685	21-Aug-21	11:00:00
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	New Democratic Party	Nouveau Parti démocratique	Ruby	Jamie			30-Aug-21	1:30:00
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	Liberal Party of Canada	Parti libéral du Canada	Simms	Scott		(709) 256-2100	25-Aug-21	2:00:00
10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	Conservative Party of Canada	Parti conservateur du Canada	Small	Clifford			22-Aug-21	3:30:00
10004	Labrador	Labrador	People's Party of Canada	Parti populaire du Canada	Champion	Shannon			27-Aug-21	10:30:00
10004	Labrador	Labrador	Conservative Party of Canada	Parti conservateur du Canada	Dumaresque	Shane			24-Aug-21	10:30:00
10004	Labrador	Labrador	Liberal Party of Canada	Parti libéral du Canada	Jones	Yvonne		(709) 896-8387	23-Aug-21	10:30:00
10004	Labrador	Labrador	New Democratic Party	Nouveau Parti démocratique	Norman	Amy		(709) 899-0458	27-Aug-21	10:30:00
10005	Long Range Mountains	Long Range Mountains	Conservative Party of Canada	Parti conservateur du Canada	Anstey	Carol			23-Aug-21	12:00:00
10005	Long Range Mountains	Long Range Mountains	Liberal Party of Canada	Parti libéral du Canada	Hutchings	Gudie			22-Aug-21	12:00:00
10005	Long Range Mountains	Long Range Mountains	New Democratic Party	Nouveau Parti démocratique	Mintz	Kaila			27-Aug-21	1:30:00
10005	Long Range Mountains	Long Range Mountains	People's Party of Canada	Parti populaire du Canada	Shelley	Darrell			25-Aug-21	12:00:00
10006	St. John's East	St. John's-Est	Conservative Party of Canada	Parti conservateur du Canada	Etchegary	Glenn		(709) 728-3885	21-Aug-21	10:30:00
10006	St. John's East	St. John's-Est	People's Party of Canada	Parti populaire du Canada	Metcalfe	Dana			30-Aug-21	7:00:00
10006	St. John's East	St. John's-Est	New Democratic Party	Nouveau Parti démocratique	Shortall	Mary		(709) 576-6279	21-Aug-21	4:30:00
10006	St. John's East	St. John's-Est	Liberal Party of Canada	Parti libéral du Canada	Thompson	Joanne		(709) 722-0066	21-Aug-21	11:00:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	New Democratic Party	Nouveau Parti démocratique	Critch	Ray		(709) 726-0050	22-Aug-21	2:20:00
